,dataset,Solution no,rouge_1_p,rouge_1_r,rouge_1_f,rouge_2_p,rouge_2_r,rouge_2_f,rouge_l_p,rouge_l_r,rouge_l_f
0,document,0,0.8143712574850298,0.03837110881218847,0.07328902374985387,0.3539999999999999,0.01664785553047404,0.03180021473671899,0.6784313725490195,0.06115235065394132,0.11219195697849955
1,document,1,0.8163265306122449,0.033856860716636884,0.0650171565406573,0.2681818181818182,0.01109857035364936,0.02131502813852161,0.6965811965811964,0.0576175326970661,0.10643160159240346
2,document,2,0.8187702265372169,0.04758769867393962,0.08994755917864329,0.2771474878444084,0.01608352144469526,0.030402701425623697,0.6999999999999998,0.07917992223400495,0.14226738464603533
3,document,3,0.756880733944954,0.031035455656917146,0.059625981716819466,0.23908045977011494,0.009781790820165538,0.018794613864820002,0.6265060240963856,0.05514316012725345,0.10136452093010577
4,document,4,0.7900763358778627,0.038935389824132416,0.0742134973570139,0.248565965583174,0.012227238525206923,0.023307932768302595,0.6725978647686833,0.06680805938494168,0.1215434067163305
5,document,5,0.8082191780821918,0.03329257970469294,0.06395086185408459,0.34782608695652173,0.014296463506395787,0.027464088138499612,0.6419213973799127,0.051961823966065745,0.09614126741758529
