generation_no,solution No._R1,rouge_1_r,solution No._R2,rouge_2_r,Solution No._RL,rouge_l_r
0,2,0.04758769867393962,0,0.01664785553047404,2,0.07917992223400495
1,2,0.04758769867393962,0,0.01664785553047404,2,0.07917992223400495
2,2,0.04758769867393962,0,0.01664785553047404,2,0.07917992223400495
3,2,0.04758769867393962,0,0.01664785553047404,2,0.07917992223400495
4,2,0.04758769867393962,0,0.01664785553047404,2,0.07917992223400495
5,2,0.04758769867393962,0,0.01664785553047404,2,0.07917992223400495
Max. Score,2,0.04758769867393962,0,0.01664785553047404,2,0.07917992223400495
